Step,Value
5,0.65625
15,0.59375
16,0.625
23,0.6875
28,0.78125
37,0.6875
39,0.84375
42,0.71875
49,0.46875
56,0.625
66,0.6875
69,0.71875
72,0.6875
78,0.84375
81,0.78125
85,0.6875
89,0.8333333134651184
104,0.625
107,0.625
111,0.5
121,0.84375
134,0.625
136,0.625
138,0.71875
142,0.6875
145,0.5
146,0.6875
151,0.5625
156,0.71875
160,0.71875
171,0.71875
175,0.625
188,0.875
202,0.59375
213,0.71875
219,0.71875
221,0.71875
227,0.78125
239,0.65625
252,0.84375
257,0.7604166865348816
260,0.625
305,0.7638888955116272
324,0.75
327,0.5833333730697632
333,0.78125
338,0.6041666865348816
340,0.6875
341,0.819444477558136
353,0.6875
376,0.625
378,0.8333333730697632
405,0.625
420,0.7708333730697632
424,0.7708333730697632
429,0.8645833730697632
436,0.7916666865348816
450,0.65625
456,0.7083333730697632
465,0.8645833730697632
485,0.5277777910232544
496,0.7916666865348816
505,0.71875
513,0.875
522,0.7604166865348816
526,0.8125
530,0.6805555820465088
538,0.8333333730697632
552,0.8125
560,0.8020833730697632
564,0.8229166865348816
590,0.8541666865348816
596,0.84375
606,0.75
608,0.8020833730697632
615,0.71875
633,0.6770833730697632
643,0.90625
650,0.8333333730697632
652,0.7291666865348816
653,0.8333333730697632
664,0.8125
666,0.8020833730697632
668,0.84375
691,0.8229166865348816
707,0.875
709,0.8125
735,0.84375
740,0.6458333730697632
752,0.6875
757,0.78125
759,0.8333333730697632
765,0.8125
768,0.8333333730697632
773,0.875
781,0.6979166865348816
785,0.7916666865348816
793,0.7604166865348816
811,0.8645833730697632
817,0.7083333730697632
826,0.7395833730697632
829,0.75
839,0.90625
843,0.6666666865348816
847,0.8854166865348816
849,0.6875
851,0.75
854,0.75
867,0.8333333730697632
875,0.8333333730697632
877,0.9166666865348816
884,0.90625
900,0.8229166865348816
909,0.8020833730697632
914,0.84375
921,0.71875
926,0.9166666865348816
957,0.75
983,0.90625
999,0.8125
1011,0.8229166865348816
1026,0.875
1034,0.8055555820465088
1040,0.8645833730697632
1057,0.8541666865348816
1062,0.7916666865348816
1069,0.8229166865348816
1080,0.9479166865348816
1087,0.84375
1092,0.75
1101,0.84375
1110,0.7708333730697632
1129,0.9479166865348816
1143,0.8125
1155,0.90625
1178,0.8888888955116272
1191,0.8854166865348816
1195,0.8333333730697632
1218,0.90625
1222,0.8333333730697632
1237,0.8854166865348816
1248,0.84375
1267,0.875
1291,0.7291666865348816
1292,0.875
1299,0.9270833730697632
1303,0.7291666865348816
1327,0.8541666865348816
1335,0.8333333730697632
1338,0.8541666865348816
1353,0.8333333730697632
1357,0.9479166865348816
1371,0.8020833730697632
1391,0.8645833730697632
1400,0.7395833730697632
1410,0.8125
1412,0.9305555820465088
1421,0.7777777910232544
1437,0.8333333730697632
1439,0.875
1457,0.8611111044883728
1460,0.8333333730697632
1467,0.96875
1475,0.8611111044883728
1477,0.875
1483,0.8645833730697632
1485,0.8958333730697632
1499,0.8645833730697632
1503,0.8020833730697632
1514,0.8958333730697632
1518,0.9166666865348816
1520,0.8055555820465088
1559,0.8541666865348816
1577,0.875
1578,0.875
1579,0.8229166865348816
1601,0.9027777910232544
1610,0.819444477558136
1612,0.84375
1625,0.9270833730697632
1628,0.8055555820465088
1630,0.8854166865348816
1634,0.84375
1635,0.9791666865348816
1638,0.9479166865348816
1655,0.875
1668,0.9166666865348816
1673,0.8611111044883728
1680,0.8958333730697632
1683,0.7916666865348816
1684,0.8541666865348816
1690,0.8645833730697632
1694,0.9270833730697632
1697,0.84375
1704,0.9479166865348816
1739,0.8125
1767,0.9270833730697632
1770,0.8229166865348816
1778,0.8958333730697632
1788,0.90625
1796,0.7916666865348816
1807,0.8854166865348816
1817,0.8055555820465088
1829,0.8541666865348816
1835,0.875
1844,0.9583333134651184
1859,0.8645833730697632
1864,0.9791666865348816
1867,0.90625
1879,0.8541666865348816
1882,0.8854166865348816
1901,0.8645833730697632
1905,0.9270833730697632
1907,0.9027777910232544
1917,0.90625
1923,0.8958333730697632
1926,0.9270833730697632
1928,0.8645833730697632
1940,0.9583333730697632
1957,0.84375
1963,0.8854166865348816
1986,0.8958333730697632
1994,0.8229166865348816
1997,0.8055555820465088
1998,0.8333333730697632
2005,0.8958333730697632
2015,0.819444477558136
2020,0.8958333730697632
2029,0.8333333730697632
2031,0.9270833730697632
2036,0.7604166865348816
2039,0.90625
2047,0.90625
2060,0.9305555820465088
2064,0.9270833730697632
2090,0.90625
2091,0.8958333730697632
2117,0.9270833730697632
2120,0.9270833730697632
2123,0.8611111044883728
2153,0.9270833730697632
2169,0.84375
2237,0.9791666865348816
2243,0.8333333730697632
2247,0.84375
2275,0.875
2302,0.8645833730697632
2313,0.8333333730697632
2333,0.9583333730697632
2335,0.8333333730697632
2344,0.8958333730697632
2388,0.8854166865348816
2390,0.8854166865348816
2401,0.8958333730697632
2404,0.9270833730697632
2424,0.8958333730697632
2425,0.8854166865348816
2448,0.9270833730697632
2450,0.9583333730697632
2451,0.90625
2459,0.96875
2464,0.8541666865348816
2467,0.90625
2475,0.90625
2478,0.96875
2488,0.8125
2492,0.8611111044883728
2496,0.8541666865348816
2502,0.9166666865348816
2512,0.875
2514,0.9166666865348816
2516,0.8854166865348816
2529,0.96875
2533,0.8958333730697632
2547,0.9479166865348816
2570,0.9375
2576,0.8645833730697632
2580,0.90625
2585,0.9166666865348816
2588,0.9270833730697632
2592,0.90625
2601,0.9375
2603,0.8958333730697632
2613,0.8645833730697632
2625,0.875
2628,0.9375
2630,0.8958333730697632
2695,0.875
2700,0.9479166865348816
2703,0.8854166865348816
2717,0.8888888955116272
